feature,shap_mean_abs
f4,1.0805122555387352
f21,1.0303716736324857
f22,0.6441753208930379
f2,0.6221874168869177
f28,0.5385623787176996
f27,0.5138133000738794
f8,0.32289630182834766
f5,0.3124361023936196
f25,0.30480990188563156
f29,0.2553528064901866
f3,0.2547218335266066
f7,0.21169566880947105
f24,0.16225178679267904
f11,0.15557538007812302
f20,0.14102244232262962
f12,0.1273167954056948
f13,0.11661993940116842
f10,0.11636571117794381
f6,0.1106258402161084
f9,0.0968502355991196
f18,0.0706527452002081
f19,0.07060657307728138
f17,0.05850005058994435
f23,0.04340871065395787
f26,0.03985421115377692
f15,0.018087499805028
f16,0.017216703729768735
f1,0.006084717492769116
f0,0.004693873884134976
f14,0.004021567448448785
